0,0,0,0,YYYYY,MM,DD,hh,mm
612,39,15,24,2020,08,07,01,58
612,39,15,24,2020,08,07,06,19
614,39,15,24,2020,08,07,22,28
615,39,15,24,2020,08,07,22,39
616,39,15,24,2020,08,07,23,19
617,39,15,24,2020,08,08,02,51
617,39,15,24,2020,08,08,02,51
617,39,15,24,2020,08,08,02,51
617,39,15,24,2020,08,08,02,51
617,39,15,24,2020,08,08,05,36
618,39,15,24,2020,08,08,15,54
619,39,15,24,2020,08,08,16,04
619,39,15,24,2020,08,09,03,45
619,39,15,24,2020,08,09,05,44
620,39,15,24,2020,08,10,04,23
620,39,15,24,2020,08,10,06,05
621,39,15,24,2020,08,10,14,32
622,39,15,24,2020,08,10,14,33
623,39,15,24,2020,08,10,14,34
623,39,15,24,2020,08,11,05,20
623,39,15,24,2020,08,11,05,20
623,39,15,24,2020,08,12,02,11
623,39,15,24,2020,08,12,02,11
623,39,15,24,2020,08,12,03,43
624,39,15,24,2020,08,12,20,53
624,39,15,24,2020,08,13,03,04
624,39,15,24,2020,08,13,03,04
624,39,15,24,2020,08,13,03,04
624,39,15,24,2020,08,13,03,04
625,39,15,24,2020,08,13,03,05
626,39,15,24,2020,08,13,03,06
626,39,15,24,2020,08,13,04,01
627,39,15,24,2020,08,13,21,15
628,39,15,24,2020,08,13,21,22
629,39,15,24,2020,08,13,22,08
630,39,15,24,2020,08,13,22,14
632,39,15,24,2020,08,13,22,35
633,39,15,24,2020,08,13,22,36
633,39,15,24,2020,08,14,04,22
633,39,15,24,2020,08,14,04,22
634,39,15,24,2020,08,14,21,02
635,39,15,24,2020,08,14,21,09
636,39,15,24,2020,08,14,21,16
637,39,15,24,2020,08,14,21,17
638,39,15,24,2020,08,15,00,04
638,39,15,24,2020,08,15,00,04
638,39,15,24,2020,08,15,00,04
638,39,15,24,2020,08,15,04,21
639,39,15,24,2020,08,15,22,53
639,39,15,24,2020,08,16,05,42
640,39,15,24,2020,08,16,16,51
640,39,15,24,2020,08,17,01,32
640,39,15,24,2020,08,17,01,32
640,39,15,24,2020,08,17,01,32
640,39,15,24,2020,08,17,01,32
641,39,15,24,2020,08,17,01,34
641,39,15,24,2020,08,17,03,09
641,39,15,24,2020,08,18,02,18
641,39,15,24,2020,08,18,02,18
641,39,15,24,2020,08,18,02,18
642,39,15,24,2020,08,18,02,18
644,39,15,24,2020,08,18,02,27
644,39,15,24,2020,08,18,04,02
644,39,15,24,2020,08,19,05,35
645,39,15,24,2020,08,19,15,51
646,39,15,24,2020,08,20,01,10
646,39,15,24,2020,08,20,01,10
646,39,15,24,2020,08,20,01,10
646,39,15,24,2020,08,20,01,10
647,39,15,24,2020,08,20,01,13
648,39,15,24,2020,08,20,01,14
648,43,16,27,2020,08,20,03,26
648,43,16,27,2020,08,21,04,38
649,43,16,27,2020,08,21,17,10
650,43,16,27,2020,08,21,17,11
651,43,16,27,2020,08,21,17,14
652,43,16,27,2020,08,21,17,18
653,43,16,27,2020,08,21,19,29
654,43,16,27,2020,08,21,19,35
655,43,16,27,2020,08,21,20,23
656,43,16,27,2020,08,21,20,24
657,43,16,27,2020,08,21,22,31
657,43,16,27,2020,08,22,05,18
657,43,16,27,2020,08,22,05,18
657,43,16,27,2020,08,23,05,08
657,43,16,27,2020,08,24,05,20
658,43,16,27,2020,08,24,15,57
659,43,16,27,2020,08,24,16,41
659,43,16,27,2020,08,25,01,49
659,43,16,27,2020,08,26,03,48
660,43,16,27,2020,08,26,18,11
661,43,16,27,2020,08,26,18,13
661,43,16,27,2020,08,27,01,31
661,43,16,27,2020,08,27,01,31
662,43,16,27,2020,08,27,01,32
662,43,16,27,2020,08,27,05,21
662,43,16,27,2020,08,28,05,19
662,43,16,27,2020,08,29,01,53
662,43,16,27,2020,08,29,01,53
662,43,16,27,2020,08,29,05,55
662,43,16,27,2020,08,29,23,56
662,44,16,28,2020,08,30,15,58
662,44,16,28,2020,08,31,01,02
662,44,16,28,2020,08,31,20,40
664,44,16,28,2020,09,01,21,50
665,44,16,28,2020,09,01,21,53
666,44,16,28,2020,09,01,22,09
666,44,16,28,2020,09,02,03,44
666,44,16,28,2020,09,02,03,44
666,44,16,28,2020,09,02,14,39
667,44,16,28,2020,09,02,14,44
667,44,16,28,2020,09,02,15,49
668,44,16,28,2020,09,02,21,04
669,44,16,28,2020,09,02,21,06
670,44,16,28,2020,09,03,01,12
670,44,16,28,2020,09,03,01,12
670,44,16,28,2020,09,03,01,12
670,44,16,28,2020,09,03,01,12
671,44,16,28,2020,09,04,22,46
672,44,16,28,2020,09,04,22,55
673,44,16,28,2020,09,04,22,56
674,44,16,28,2020,09,04,22,59
675,44,16,28,2020,09,04,23,01
678,44,16,28,2020,09,04,23,14
679,44,16,28,2020,09,04,23,18
680,44,16,28,2020,09,04,23,20
681,44,16,28,2020,09,04,23,21
682,44,16,28,2020,09,04,23,24
683,44,16,28,2020,09,04,23,26
684,44,16,28,2020,09,04,23,28
685,44,16,28,2020,09,05,00,08
685,44,16,28,2020,09,05,00,08
685,44,16,28,2020,09,05,00,08
686,44,16,28,2020,09,05,00,12
687,44,16,28,2020,09,05,00,14
688,44,16,28,2020,09,05,00,17
689,44,16,28,2020,09,05,00,18
690,44,16,28,2020,09,05,00,21
691,44,16,28,2020,09,05,00,22
692,44,16,28,2020,09,05,00,28
693,44,16,28,2020,09,05,00,28
694,44,16,28,2020,09,05,00,31
695,44,16,28,2020,09,05,00,35
696,44,16,28,2020,09,05,00,37
697,44,16,28,2020,09,05,00,41
698,44,16,28,2020,09,05,00,42
699,44,16,28,2020,09,05,00,46
700,44,16,28,2020,09,05,00,46
701,44,16,28,2020,09,05,00,49
